LocationID,long,lat,Easting,Northing
1,-0.13468,51.52478,529502.046,182300.553
2,-0.13465,51.52475,529504.55,182297.095
3,-0.13458,51.52469,529509.439,182290.417
4,-0.13453,51.52465,529512.599,182286.541
5,-0.13447,51.52467,529516.654,182288.986
6,-0.13441,51.5247,529521.185,182292.325
7,-0.13434,51.52473,529525.836,182295.306
8,-0.13425,51.52476,529532.097,182299.718
9,-0.13417,51.5248,529537.642,182303.654
10,-0.13409,51.52483,529542.769,182307.052
11,-0.13404,51.52485,529546.108,182309.616
12,-0.13399,51.52487,529549.626,182312.359
13,-0.13394,51.5249,529552.786,182314.803
14,-0.13391,51.52491,529555.052,182316.234
15,-0.13398,51.52494,529550.342,182319.633
16,-0.13401,51.52497,529547.718,182323.151
17,-0.13406,51.52502,529544.141,182327.921
18,-0.13406,51.52505,529544.558,182331.26
19,-0.1341,51.525,529541.398,182325.595
20,-0.13416,51.52497,529537.344,182322.614
21,-0.13424,51.52492,529532.097,182317.486
22,-0.13427,51.52487,529530.129,182311.166
23,-0.1342,51.52484,529535.316,182308.483
24,-0.13433,51.52484,529525.836,182307.768
25,-0.13431,51.52479,529527.386,182301.984
26,-0.1344,51.52484,529521.245,182308.304
27,-0.13444,51.52483,529518.502,182306.575
28,-0.13452,51.5248,529512.778,182302.58
29,-0.1346,51.52477,529507.531,182299.241
51,-0.13418,51.52455,529537.02,182276.424
52,-0.13427,51.52455,529531.324,182275.993
53,-0.13433,51.52457,529526.836,182277.978
54,-0.13414,51.52478,529539.582,182301.538
101,-0.13445,51.5246,529518.295,182281.443
102,-0.13442,51.52457,529520.804,182277.889
103,-0.13433,51.52449,529526.92,182268.898
104,-0.13426,51.52451,529532.043,182270.988
105,-0.13417,51.52452,529538.42,182272.557
106,-0.13412,51.52456,529541.713,182277.47
107,-0.13404,51.52467,529546.732,182289.702
108,-0.1341,51.52476,529542.079,182299.033
109,-0.13396,51.52483,529551.593,182306.926
110,-0.1339,51.52486,529556.245,182311.317
111,-0.13382,51.5248,529561.368,182304.417
112,-0.13388,51.52477,529557.866,182301.124
113,-0.13401,51.52466,529548.561,182288.578
114,-0.1339,51.52457,529556.507,182278.437
115,-0.13378,51.52445,529565.184,182265.735
116,-0.1337,51.52448,529570.934,182269.446
117,-0.13358,51.52451,529578.88,182272.478
118,-0.13351,51.52453,529583.898,182274.987
119,-0.13347,51.52449,529587.087,182270.596
120,-0.13341,51.52444,529591.164,182264.794
121,-0.13334,51.52437,529595.868,182257.424
122,-0.13331,51.52433,529598.691,182253.085
123,-0.13327,51.52432,529601.357,182252.039
124,-0.13331,51.5243,529598.273,182250.21
125,-0.13338,51.52429,529593.778,182248.485
126,-0.13345,51.52426,529588.759,182244.46
127,-0.13351,51.52424,529584.943,182242.421
128,-0.13361,51.52422,529577.939,182240.696
129,-0.13369,51.5243,529572.032,182249.269
130,-0.13361,51.52434,529577.311,182253.399
131,-0.1337,51.52438,529571.248,182258.364
132,-0.1336,51.52444,529577.677,182264.271
201,-0.13453,51.52431,529513.799,182248.223
202,-0.13483,51.52457,529492.576,182276.765
203,-0.13497,51.52451,529482.906,182270.387
204,-0.13503,51.52453,529478.201,182272.06
205,-0.13508,51.52451,529475.378,182269.76
206,-0.13514,51.52448,529471.092,182266.833
